report_schema_version,stage,stage_label,model_scale,provider_family,model_display_name,method_id,source_run_dir,items,headline_metric,headline_score,ci95_low,ci95_high,aggregation,parse_errors,parse_error_rate,first_attempt_parse_errors,first_attempt_schema_failures,final_parse_errors,final_schema_failures,total_retry_count,early_score_cp015_090,middle_score_cp105_195,late_score_cp210_300,cp300_minus_cp015,checkpoint_pearson_r,gca15_initial_copy_lift,exact_pair_set_match,exact_pair_set_ci95_low,exact_pair_set_ci95_high,final_state_accuracy,final_state_initial_copy_lift,retention_after_update,evidence_hit_rate,exact_state_match,schema_success_rate,recorded_cost_usd,recorded_cost_per_item_usd,latency_observations,mean_latency_seconds,p50_latency_seconds,p95_latency_seconds,max_latency_seconds,usage_observations,total_input_tokens,total_output_tokens,mean_output_tokens,cp015_score,cp030_score,cp045_score,cp060_score,cp075_score,cp090_score,cp105_score,cp120_score,cp135_score,cp150_score,cp165_score,cp180_score,cp195_score,cp210_score,cp225_score,cp240_score,cp255_score,cp270_score,cp285_score,cp300_score
cross-stage-model-summary-v2,stage1,Stage 1 occurred-event/evidence pairs,large,GPT,GPT 5.6 Sol,fc_gpt_5_6_sol,experiment/runs/stage1_api3_combined/0731_1551,400,strict_occurred_event_evidence_f1,0.6785490565451485,0.613641714034062,0.7397826325151188,checkpoint_macro_then_equal_checkpoint_average,0,0.0,0,7,0,7,0,0.6200167887667888,0.6897981194157905,0.7174705089131007,0.19416465943560446,0.8498578365467883,,0.0675,0.030000000000000002,0.115,,,,,,0.9825,83.42099,0.20855247500000001,400,20.7001198875,21.414859,36.278164,43.58115,400,14210116,412347,1030.8675,0.5333333333333333,0.6316666666666666,0.645952380952381,0.6259523809523809,0.6553715728715729,0.6278243978243978,0.6854578754578754,0.6920981469510881,0.6870231338149295,0.6709115927072584,0.6933540867980227,0.6906432583434872,0.7090987418378722,0.690579734552748,0.7029324700759628,0.7433851435457386,0.7289408190720924,0.722934603405134,0.7060227989710912,0.7274979927689378
cross-stage-model-summary-v2,stage1,Stage 1 occurred-event/evidence pairs,large,Claude,Claude Opus 4.8,fc_claude_opus_4_8,experiment/runs/stage1_api3_combined/0731_1551,400,strict_occurred_event_evidence_f1,0.5339824021954279,0.47492133416911325,0.5862141918944286,checkpoint_macro_then_equal_checkpoint_average,0,0.0,0,87,0,87,0,0.5626016113516114,0.557334075008762,0.48609997867679366,0.02995628193358646,-0.4335279656968383,,0.05,0.030000000000000002,0.07,,,,,,0.7825,153.8795,0.38469875000000003,400,42.590032435000005,9.417131,181.706588,261.896712,400,24932300,1168720,2921.8,0.6,0.5933333333333334,0.5985714285714285,0.5284523809523809,0.5851334776334777,0.4701190476190476,0.5512182262182261,0.5164912864912865,0.5138672112201524,0.6377092240404932,0.5313051151634742,0.5677140256282807,0.583033436299421,0.4864930941801651,0.5821119883365011,0.46918500742103264,0.4086114876674333,0.4829934086635978,0.3433485825352392,0.6299562819335864
cross-stage-model-summary-v2,stage1,Stage 1 occurred-event/evidence pairs,large,Gemini,Gemini 3.1 Pro,fc_gemini_3_1_pro,experiment/runs/stage1_api3_combined/0731_1551,400,strict_occurred_event_evidence_f1,0.7481962875191871,0.6898195705020972,0.7992743128108141,checkpoint_macro_then_equal_checkpoint_average,0,0.0,0,19,0,19,0,0.7164703814703816,0.7839154325644528,0.7396707762300405,0.10970590645574319,0.16568292963401457,,0.1125,0.06,0.17750000000000002,,,,,,0.9525,38.431338,0.096078345,400,20.308284765,19.666875,33.963996,42.528554,400,13604739,935155,2337.8875,0.6,0.7433333333333334,0.7076190476190476,0.7424603174603175,0.7486868686868686,0.7567227217227217,0.7884623709623709,0.806350463262228,0.7720063025210084,0.8069827141382868,0.7859789625579099,0.7752836884701872,0.7523435260391782,0.7780010223271093,0.7318295109908013,0.7323471394398512,0.7814294823450667,0.7016499875381476,0.7427323845135642,0.7097059064557432
cross-stage-model-summary-v2,stage1,Stage 1 occurred-event/evidence pairs,small,GPT,GPT 5.6 Terra,fc_gpt_5_6_terra,experiment/runs/stage1_small4/0731_1101,400,strict_occurred_event_evidence_f1,0.6632514250670967,0.604535940909051,0.7203511473439924,checkpoint_macro_then_equal_checkpoint_average,0,0.0,0,42,0,42,0,0.6089478114478114,0.6748070163810939,0.6982417882839155,0.24255252077620498,0.6533312147931285,,0.065,0.0275,0.1125,,,,,,0.895,42.07999,0.105199975,400,13.102679472499998,12.849283,24.880037,42.417976,400,14210116,436980,1092.45,0.45,0.63,0.6864285714285714,0.6053968253968254,0.6215584415584415,0.6603030303030303,0.6411247086247086,0.678546110751993,0.682312091503268,0.6678990368077055,0.6927447406394774,0.6897883295194508,0.6712340968210533,0.7108878585182933,0.692777692350406,0.722653253772553,0.7100994510117392,0.6803395619126742,0.6783821796455374,0.692552520776205
cross-stage-model-summary-v2,stage1,Stage 1 occurred-event/evidence pairs,small,GPT,GPT 5.6 Luna,fc_gpt_5_6_luna,experiment/runs/stage1_small4/0731_1101,400,strict_occurred_event_evidence_f1,0.6293930015391678,0.5762264593780061,0.6787968451010773,checkpoint_macro_then_equal_checkpoint_average,0,0.0,0,54,0,54,0,0.6564604377104377,0.6293616515389394,0.6062236919640219,0.0002652554259258144,-0.6055252492252644,,0.065,0.04,0.09,,,,,,0.865,16.0105,0.04002625,400,7.1653815325000005,7.269979,11.34983,39.765534,400,14210116,300064,750.16,0.6,0.6849999999999999,0.6714285714285715,0.6733730158730158,0.705930735930736,0.603030303030303,0.6406321456321457,0.6661309523809524,0.5977248078718668,0.6494161875276425,0.5980669197503563,0.6215930010448115,0.6319675465648006,0.6097051464934761,0.6281007612799218,0.6268049882262776,0.6008629852823402,0.5796979306844434,0.5981287763557688,0.6002652554259258
cross-stage-model-summary-v2,stage1,Stage 1 occurred-event/evidence pairs,small,Claude,Claude Sonnet 4.6,fc_claude_sonnet_4_6,experiment/runs/stage1_small4/0731_1101,400,strict_occurred_event_evidence_f1,0.720179087350757,0.6578259473642214,0.7737830681451385,checkpoint_macro_then_equal_checkpoint_average,1,0.0025,1,39,1,39,0,0.656528379028379,0.7419209238639368,0.7529950008281868,0.11305568733387994,0.8001868907434048,,0.0825,0.0425,0.125,,,,,,0.9025,100.541847,0.2513546175,400,70.161252445,43.548237,216.782277,331.892221,400,24883854,1726019,4315.0475,0.65,0.61,0.695952380952381,0.6525396825396825,0.664978354978355,0.6656998556998557,0.7515401265401265,0.7115875790875791,0.7414835164835165,0.7602880976952184,0.732758151721,0.7623548743400002,0.7334341211801166,0.7578154438154439,0.752716285324981,0.7611925344512942,0.7502689255497932,0.7280429585627355,0.7578731707591797,0.76305568733388
cross-stage-model-summary-v2,stage1,Stage 1 occurred-event/evidence pairs,small,Gemini,Gemini 3.5 Flash,fc_gemini_3_5_flash,experiment/runs/stage1_small4/0731_1101,400,strict_occurred_event_evidence_f1,0.4875686866279389,0.4411980384857206,0.5325709521421699,checkpoint_macro_then_equal_checkpoint_average,0,0.0,0,115,0,115,0,0.5503815166315166,0.4664445763583313,0.4548532283230512,-0.15429753846244387,-0.7167543443244568,,0.052500000000000005,0.030000000000000002,0.0775,,,,,,0.7125,21.3901605,0.05347540125,400,2.60882869,2.298704,4.119294,13.799075,400,13604739,109228,273.07,0.6,0.6166666666666667,0.6,0.5691666666666666,0.4644047619047619,0.45205100455100455,0.5129817404817405,0.4923529248529248,0.4526981351981352,0.44822302697302696,0.4034262551174316,0.5070213798368665,0.44840857204819384,0.5278563969774963,0.43049089571979604,0.45933657790293714,0.44519933825316615,0.43449981393110937,0.44088711393929747,0.4457024615375561
cross-stage-model-summary-v2,stage2,Stage 2 state reconstruction,large,GPT,GPT 5.6 Sol,fc_gpt_5_6_sol,experiment/runs/stage2_2_combined/0731_1550,400,GCA@15,0.41287318851243443,0.39193730187905523,0.4330956430701941,pooled_checkpoint_transitions,0,0.0,0,2,0,2,0,0.47353939200970646,0.41492697786936655,0.378687299105878,-0.17881846671411766,-0.6996454898125601,0.23599723139145432,,,,0.7485294117647059,0.07999999999999996,0.6524480016859442,0.7147185626873127,0.0125,0.995,98.41767,0.246044175,400,27.7645643225,28.138621,39.742679,59.367184,400,15318996,727423,1818.5575,0.5376486129458388,0.4904458598726115,0.48979591836734687,0.478584542105174,0.36608557844690964,0.515201314708299,0.49787835926449797,0.44060773480662985,0.36369307548346846,0.41214470284237725,0.4010416666666667,0.4257178526841448,0.3788437884378844,0.447039895305665,0.3298059964726631,0.4699837750135208,0.2914356130622304,0.37414965986394555,0.36828806064434616,0.3588301462317211
cross-stage-model-summary-v2,stage2,Stage 2 state reconstruction,large,Claude,Claude Opus 4.8,fc_claude_opus_4_8,experiment/runs/stage2_2_combined/0731_1550,400,GCA@15,0.46977965001192745,0.44320791930561726,0.496968693751529,pooled_checkpoint_transitions,1,0.0025,1,14,1,14,0,0.4958796715615673,0.4807627925735046,0.44645959953926834,-0.141644390580135,-0.48547698239039944,0.2929036928909473,,,,0.8013235294117647,0.13279411764705873,0.7277179357156296,0.7669523949025691,0.0175,0.965,208.553525,0.5213838125,400,96.8121601275,92.072356,194.951135,272.048835,400,26377560,3066629,7666.5725,0.5598349381017882,0.5163584637268849,0.47311827956989244,0.45340501792114696,0.3957255778828722,0.6010407632263659,0.475873544093178,0.5196156925540433,0.4671107410491257,0.4660465306553847,0.5302013422818792,0.42293231751005744,0.4730494338462524,0.5426235839797036,0.4402305235065282,0.48569421130903734,0.37198404368882226,0.44322344322344315,0.40485624478271176,0.4181905475216532
cross-stage-model-summary-v2,stage2,Stage 2 state reconstruction,large,Gemini,Gemini 3.1 Pro,fc_gemini_3_1_pro,experiment/runs/stage2_2_combined/0731_1550,400,GCA@15,0.4382944998319773,0.4176430783613658,0.4590874599388597,pooled_checkpoint_transitions,1,0.0025,1,5,1,5,0,0.493632504548211,0.4375668760619162,0.4175105610354419,-0.22945619975009107,-0.5004136597055584,0.2614185427109972,,,,0.7667647058823529,0.09823529411764698,0.6703225523539347,0.7129873957526821,0.030000000000000002,0.9875,43.036608,0.10759152,400,23.007009665,17.933459,40.791235,52.326355,400,15031482,1081137,2702.8425,0.5866666666666667,0.5756718528995757,0.448441247002398,0.484621778886118,0.44864048338368584,0.49301983835415136,0.4308445532435741,0.41966684578183777,0.45984030061061537,0.5081967213114755,0.2720876370031147,0.5039430560146957,0.4877675840978594,0.42555685814771405,0.40593982607079643,0.4553376906318083,0.33014354066985646,0.4396551724137931,0.4941125163541212,0.3572104669165756
